region,cantidad_toneladas
Antofagasta,1708948.3154553599
Araucanía,615331.380841
Arica y Parinacota,273386.05125
Atacama,334056.545019
Aysén del Gral. Carlos Ibañez del Campo,72599.662145
Biobío,1272967.67979
Coquimbo,99040.56568
Libertador Gral. Bernardo O'Higgins,788716.049854
Los Lagos,747730.01708301
Los Ríos,241895.6876
Magallanes y de la Antártica Chilena,93966.3574693
Maule,423147.56320190005
Metropolitana de Santiago,2945986.601587146
Tarapacá,89206.803686
Valparaíso,436916.481247
Ñuble,226883.152421
